Postcode,Positional_quality_indicator,Eastings,Northings,Country_code,NHS_regional_HA_code,NHS_HA_code,Admin_county_code,Admin_district_code,Admin_ward_code,Latitude,Longitude
OX1 1HQ,10,450832,206148,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751781,-1.2650673
OX1 1HR,10,450685,206280,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752927,-1.2671493
OX1 1HS,10,450481,206333,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.753494,-1.27011
OX1 1HT,10,450841,206188,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752176,-1.264974
OX1 1HU,10,450593,206232,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.75251,-1.2680977
OX1 1HW,10,450385,206593,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.755768,-1.2714497
OX1 1HX,10,451331,206156,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751754,-1.2578101
OX1 1HY,10,450257,206800,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.757577,-1.2732316
OX1 1HZ,10,450310,206820,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.757861,-1.2725171
OX1 1JA,10,450789,206192,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751821,-1.2656317
OX1 1JB,10,450944,206049,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750827,-1.2634314
OX1 1JD,10,450786,206240,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752631,-1.2658648
OX1 1JE,10,450839,206108,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751356,-1.2646541
OX1 1JF,10,450767,206139,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751652,-1.2659821
OX1 1JG,10,450822,206118,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751431,-1.2650585
OX1 1JH,10,450693,206130,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751524,-1.2670417
OX1 1JJ,10,450717,206143,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751718,-1.2664156
OX1 1JL,10,450637,206142,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751641,-1.2670687
OX1 1JP,10,450740,206169,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751924,-1.2663688
OX1 1JQ,10,450766,206270,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.75283,-1.2659775
OX1 1JR,10,450724,206165,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.75189,-1.2666011
OX1 1JS,10,450718,206108,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751378,-1.2666963
OX1 1JT,10,450737,206103,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751331,-1.2664219
OX1 1JU,10,450788,206102,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751318,-1.2656833
OX1 1JW,10,450815,206080,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751176,-1.2646426
OX1 1JX,10,450773,206104,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751337,-1.2659003
OX1 1JY,10,450877,206166,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751885,-1.2643848
OX1 1JZ,10,450873,206178,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751993,-1.264441
OX1 1LB,10,450735,206118,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751421,-1.2664349
OX1 1LD,10,450978,206039,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750734,-1.2629404
OX1 1LE,10,450660,206097,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751311,-1.2674942
OX1 1LF,10,450601,206062,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751311,-1.2674942
OX1 1LG,10,451146,206160,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.751806,-1.2604892
OX1 1LJ,10,451056,206066,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.75097,-1.2618066
OX1 1LL,10,451133,206124,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751484,-1.2606828
OX1 1LQ,10,451158,206170,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.751895,-1.2603139
OX1 1LT,10,451119,206175,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.751944,-1.2608781
OX1 1LU,10,451090,206222,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.752369,-1.2612913
OX1 1LY,10,451401,205775,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752017,-1.2611232
OX1 1ND,10,451050,206160,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751707,-1.261896
OX1 1NE,10,451356,205817,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748704,-1.2574979
OX1 1NF,10,451045,206249,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.752616,-1.2619392
OX1 1NG,10,450890,206225,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752414,-1.2641879
OX1 1NJ,10,450718,206082,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751135,-1.2667582
OX1 1NN,10,450470,206069,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.75105,-1.2702942
OX1 1NP,10,450749,206084,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751159,-1.2662508
OX1 1NQ,10,450901,206194,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752134,-1.2640331
OX1 1NR,10,450760,206087,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751185,-1.266091
OX1 1NS,10,450935,206177,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752312,-1.2636535
OX1 1NX,10,451121,206008,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750657,-1.2607687
OX1 1NY,10,450663,206044,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750807,-1.2675023
OX1 1NZ,10,451117,206039,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750721,-1.260927
OX1 1PA,10,451157,206005,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750448,-1.2603521
OX1 1PB,10,451070,205952,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749943,-1.2616206
OX1 1PE,10,451108,205964,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750048,-1.2610684
OX1 1PG,10,451113,205927,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749715,-1.2610014
OX1 1PP,10,450576,206193,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.752155,-1.2687409
OX1 1PT,10,451214,205971,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750101,-1.259532
OX1 1PU,10,451195,206063,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750966,-1.2597931
OX1 1QE,10,451187,205999,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750355,-1.259919
OX1 1QF,10,451183,206007,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750708,-1.2601885
OX1 1QL,10,451173,205933,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749763,-1.2601315
OX1 1QN,10,451360,205927,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749692,-1.2574238
OX1 1QQ,10,451235,206011,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750459,-1.259222
OX1 1QS,10,451312,205936,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749778,-1.2581177
OX1 1QT,10,451212,205837,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748834,-1.2596686
OX1 1QU,10,451190,205870,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749195,-1.2599235
OX1 1QW,10,451335,205920,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749632,-1.2577869
OX1 1QZ,10,451235,205860,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749101,-1.2592442
OX1 1RA,10,451401,205857,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748969,-1.2568852
OX1 1RD,10,451364,205858,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749143,-1.2572735
OX1 1RE,10,451331,205873,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749209,-1.2578518
OX1 1RH,10,451297,205752,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748125,-1.2583621
OX1 1RL,10,451207,205856,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749059,-1.2596649
OX1 1RP,10,451071,205737,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.74801,-1.2616376
OX1 1RQ,10,450817,205787,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748483,-1.2653092
OX1 1RR,10,451286,205872,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749204,-1.2585037
OX1 1RS,10,451159,205726,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747903,-1.2603646
OX1 1RT,10,451099,205707,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747738,-1.2612364
OX1 1RU,10,451153,205690,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747572,-1.2605149
OX1 1RX,10,450731,206033,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750058,-1.2669929
OX1 1RZ,10,450673,205980,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750231,-1.2673668
OX1 1SA,10,450870,205906,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749548,-1.2645241
OX1 1SG,10,451230,205891,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749533,-1.2592081
OX1 1SL,10,451378,205658,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.747272,-1.2572027
OX1 1SN,10,451332,205581,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.746584,-1.2578803
OX1 1SR,10,451489,205616,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.746803,-1.2555592
OX1 1SS,10,451495,205777,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.748331,-1.2554906
OX1 1ST,10,451408,205688,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.747377,-1.2567665
OX1 1SU,10,451282,205645,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747164,-1.2585951
OX1 1SW,10,451404,205622,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.746946,-1.2568315
OX1 1SZ,10,451448,205774,E92000001,E19000002,E18000009,E10000025,E07000178,E05013106,51.748309,-1.2561718
OX1 1TD,10,450673,205980,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750231,-1.2673668
OX1 1TG,10,450979,205917,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749618,-1.2627847
OX1 1TH,10,451050,206160,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.751707,-1.261896
OX1 1TL,10,451386,205758,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.74817,-1.2570721
OX1 1TN,10,451017,205693,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.74762,-1.2624261
OX1 1TP,10,451286,205872,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749204,-1.2585037
OX1 1TQ,10,451052,205628,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747032,-1.2619287
OX1 1TR,10,451186,205711,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747766,-1.2599758
OX1 1TS,10,450984,205787,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.748468,-1.2628904
OX1 1TT,10,451217,205739,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.74797,-1.2595234
OX1 1TU,10,450984,205627,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747057,-1.2629713
OX1 1TW,10,450966,205987,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750268,-1.2631218
OX1 1TX,10,450974,205663,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.747354,-1.2630533
OX1 1TY,10,450934,205740,E92000001,E19000002,E18000009,E10000025,E07000178,E05013105,51.74805,-1.2636214
OX1 1UA,10,451174,205831,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748846,-1.260132
OX1 1UB,10,451248,205825,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748785,-1.259061
OX1 1UD,10,451023,205952,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749948,-1.2623013
OX1 1UH,10,451374,205805,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748704,-1.2574979
OX1 1UJ,10,451356,205817,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.748704,-1.2574979
OX1 1UL,10,451337,205686,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.747478,-1.2585175
OX1 1UQ,10,451164,205908,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.749539,-1.2602655
OX1 1XX,10,450673,205980,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750231,-1.2673668
OX1 1ZY,10,451337,206066,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750944,-1.2577365
OX1 1ZZ,10,451337,206066,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.750944,-1.2577365
OX1 2AA,10,451012,206314,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75326,-1.2628124
OX1 2AB,10,451184,206355,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753556,-1.2599102
OX1 2AE,10,451150,206386,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75392,-1.2605706
OX1 2AF,10,451201,206404,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75402,-1.2593665
OX1 2AG,10,451154,206403,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75399,-1.2603377
OX1 2AQ,10,451003,206355,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753554,-1.2624744
OX1 2AR,10,451224,206377,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75383,-1.2591089
OX1 2AT,10,451219,206363,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753625,-1.259402
OX1 2AU,10,451177,206361,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753539,-1.2600553
OX1 2AX,10,451052,206544,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.755268,-1.2618235
OX1 2AY,10,451153,206348,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753496,-1.2603602
OX1 2BE,10,451039,206334,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753398,-1.2618685
OX1 2BJ,10,451105,206386,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753842,-1.26105
OX1 2BL,10,451043,206366,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753668,-1.261951
OX1 2BN,10,451111,206424,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.754183,-1.2609575
OX1 2BQ,10,450978,206326,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753314,-1.2628984
OX1 2BT,10,451105,206386,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753842,-1.26105
OX1 2BU,10,451022,206411,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.754074,-1.2622486
OX1 2BW,10,451221,206407,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75402,-1.2593665
OX1 2BX,10,450959,206413,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.754098,-1.2631609
OX1 2BY,10,451151,206459,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.754351,-1.2605346
OX1 2BZ,10,451140,206443,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.754351,-1.2605346
OX1 2DD,10,450688,206434,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.754311,-1.2670835
OX1 2DE,10,451135,206330,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753336,-1.2606236
OX1 2DF,10,451056,206446,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.754386,-1.261751
OX1 2DH,10,451121,206296,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753031,-1.2608314
OX1 2DL,10,451127,206266,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.752761,-1.2607489
OX1 2DP,10,451215,206202,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.752178,-1.2594836
OX1 2DR,10,451242,206340,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75339,-1.2591596
OX1 2DU,10,451232,206355,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753534,-1.2593021
OX1 2DW,10,451174,206219,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.752334,-1.260075
OX1 2EA,10,451195,206184,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.752018,-1.2597759
OX1 2EB,10,451158,206327,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753307,-1.2602909
OX1 2EH,10,450714,206379,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753684,-1.2673834
OX1 2EP,10,450758,206340,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753425,-1.2661996
OX1 2ER,10,450974,206807,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757639,-1.262886
OX1 2ES,10,451054,206812,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757677,-1.2617263
OX1 2EW,10,450759,206314,E92000001,E19000002,E18000009,E10000025,E07000178,E05013111,51.753227,-1.2661594
OX1 2EZ,10,450768,206383,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.753909,-1.2660179
OX1 2HB,10,450931,206424,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.755102,-1.2640428
OX1 2HD,10,450963,206615,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.755914,-1.2630734
OX1 2HE,10,450921,206651,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.756241,-1.2636766
OX1 2HG,10,450929,206706,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.756735,-1.2635526
OX1 2HP,10,451053,206923,E92000001,E19000002,E18000009,E10000025,E07000178,E05013118,51.758675,-1.2617245
OX1 2HQ,10,450948,206787,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757461,-1.2632656
OX1 2HS,10,451070,206910,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.758556,-1.2614801
OX1 2HT,10,451014,206906,E92000001,E19000002,E18000009,E10000025,E07000178,E05013118,51.758525,-1.262292
OX1 2HU,10,450975,206873,E92000001,E19000002,E18000009,E10000025,E07000178,E05013118,51.758232,-1.2628618
OX1 2HY,10,451049,206821,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757758,-1.2617974
OX1 2JA,10,451032,206747,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757094,-1.2620545
OX1 2JD,10,451034,206852,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757639,-1.262886
OX1 2JF,10,450985,206767,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757278,-1.2627325
OX1 2JG,10,450815,206783,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757438,-1.2651929
OX1 2JH,10,450984,206840,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75819,-1.2619352
OX1 2JJ,10,450857,206748,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757119,-1.2645895
OX1 2JL,10,450778,206715,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.75683,-1.2657388
OX1 2JN,10,450898,206796,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757394,-1.2639766
OX1 2JP,10,450889,206835,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757898,-1.2641133
OX1 2JQ,10,450791,206799,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757584,-1.2655382
OX1 2JW,10,450863,206670,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.756417,-1.264514
OX1 2LA,10,451155,206722,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.756858,-1.2602763
OX1 2LB,10,451078,206708,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.756739,-1.2613939
OX1 2LD,10,451097,206759,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.757196,-1.2611111
OX1 2LE,10,451112,206618,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.755927,-1.2609145
OX1 2LF,10,451082,206639,E92000001,E19000002,E18000009,E10000025,E07000178,E05013098,51.756119,-1.261346
